SOC
   0.00                     !scissors operator
   -1.2008                  !efermi
     3.1321841     0.0000000     0.0000000
    -1.5660921     2.7125510     0.0000000
     0.0000000     0.0000000     16.0000000
 written on  4Sep2020 at 08:46:41 
          22
         147
    1    1    1    1    1    2    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    2    1    1    1    1    1     
    5    0    0    5    3    0.000000   -0.000000
    5    0    0    6    3    0.000107    0.000002
    5    0    0    7    3   -0.000613   -0.000002
    5    0    0    8    3   -0.000109   -0.000003
    5    0    0    9    3    0.000107    0.000002
    5    0    0   10    3    0.000613    0.000003
    5    0    0   11    3    0.000108    0.000003
    5    0    0   12    3   -0.000004   -0.000010
    5    0    0   13    3    0.000001    0.000000
    5    0    0   14    3    0.000004    0.000004
    5    0    0   15    3    0.000007    0.000006
    5    0    0   16    3    0.000013    0.000001
    5    0    0   17    3    0.000007   -0.000002
    5    0    0   18    3   -0.000010   -0.000004
    5    0    0   19    3    0.000002    0.000001
    5    0    0   20    3   -0.000009   -0.000000
    5    0    0   21    3   -0.000010   -0.000005
    5    0    0   22    3    0.000001   -0.000000
    5    0    0    1    4    0.000165   -0.000011
    5    0    0    2    4    0.000000   -0.000000
    5    0    0    3    4   -0.000000   -0.000000
    5    0    0    4    4    0.000023    0.000017
    5    0    0    5    4   -0.000109    0.000007
    5    0    0    6    4   -0.000340    0.000012
    5    0    0    7    4    0.000048    0.000006
    5    0    0    8    4   -0.000074    0.000004
    5    0    0    9    4    0.000340   -0.000012
    5    0    0   10    4    0.000049    0.000006
    5    0    0   11    4   -0.000074    0.000004
    5    0    0   12    4    0.000000    0.000001
    5    0    0   13    4   -0.000006    0.000006
    5    0    0   14    4    0.000007   -0.000008
    5    0    0   15    4    0.000002    0.000002
    5    0    0   16    4    0.000000   -0.000001
    5    0    0   17    4   -0.000004    0.000005
    5    0    0   18    4    0.000001    0.000003
    5    0    0   19    4   -0.000007   -0.000002
    5    0    0   20    4   -0.000004    0.000005
    5    0    0   21    4   -0.000002   -0.000003
    5    0    0   22    4    0.000004   -0.000001
    5    0    0    1    5   -0.000182    0.000004
    5    0    0    2    5    0.000001    0.000000
    5    0    0    3    5    0.000000   -0.000000
    5    0    0    4    5    0.000109   -0.000007
    5    0    0    5    5    0.000149    0.000000
    5    0    0    6    5    0.000246   -0.000000
    5    0    0    7    5   -0.000264   -0.000008
    5    0    0    8    5    0.000060   -0.000004
    5    0    0    9    5   -0.000246    0.000000
    5    0    0   10    5   -0.000264   -0.000008
    5    0    0   11    5    0.000059   -0.000004
    5    0    0   12    5    0.000000   -0.000000
    5    0    0   13    5    0.000011    0.000007
    5    0    0   14    5   -0.000012    0.000000
    5    0    0   15    5    0.000000   -0.000001
    5    0    0   16    5    0.000003    0.000004
    5    0    0   17    5    0.000005   -0.000003
    5    0    0   18    5   -0.000016   -0.000011
    5    0    0   19    5   -0.000005    0.000008
    5    0    0   20    5    0.000005   -0.000003
    5    0    0   21    5    0.000013    0.000008
    5    0    0   22    5    0.000005   -0.000008
    5    0    0    1    6   -0.000069    0.000006
    5    0    0    2    6   -0.000012    0.000000
    5    0    0    3    6    0.000052   -0.000001
    5    0    0    4    6    0.000030   -0.000006
    5    0    0    5    6    0.000054    0.000001
    5    0    0    6    6    0.000090   -0.000000
    5    0    0    7    6    0.000022   -0.000002
    5    0    0    8    6    0.000102   -0.000002
    5    0    0    9    6   -0.000164    0.000001
    5    0    0   10    6   -0.000082   -0.000001
    5    0    0   11    6   -0.000036   -0.000003
    5    0    0   12    6    0.000001    0.000000
    5    0    0   13    6    0.000006   -0.000003
    5    0    0   14    6   -0.000006    0.000003
    5    0    0   15    6   -0.000002    0.000001
    5    0    0   16    6    0.000001    0.000003
    5    0    0   17    6    0.000006    0.000001
    5    0    0   18    6   -0.000003    0.000004
    5    0    0   19    6    0.000001    0.000004
    5    0    0   20    6    0.000000   -0.000007
    5    0    0   21    6    0.000002   -0.000003
    5    0    0   22    6   -0.000000   -0.000005
    5    0    0    1    7    0.000024    0.000003
    5    0    0    2    7   -0.000374   -0.000004
    5    0    0    3    7    0.000120    0.000002
    5    0    0    4    7    0.000017   -0.000002
    5    0    0    5    7   -0.000123   -0.000002
    5    0    0    6    7   -0.000022    0.000001
    5    0    0    7    7    0.000945    0.000020
    5    0    0    8    7    0.000102    0.000006
    5    0    0    9    7   -0.000082   -0.000001
    5    0    0   10    7   -0.000151   -0.000002
    5    0    0   11    7   -0.000064    0.000000
    5    0    0   12    7    0.000005   -0.000001
    5    0    0   13    7   -0.000008   -0.000003
    5    0    0   14    7    0.000006   -0.000001
    5    0    0   15    7   -0.000003    0.000001
    5    0    0   16    7   -0.000004    0.000007
    5    0    0   17    7    0.000003    0.000005
    5    0    0   18    7    0.000030    0.000002
    5    0    0   19    7    0.000004   -0.000002
    5    0    0   20    7   -0.000003   -0.000003
    5    0    0   21    7   -0.000001   -0.000006
    5    0    0   22    7   -0.000005    0.000000
    5    0    0    1    8   -0.000021    0.000002
    5    0    0    2    8    0.000091    0.000003
    5    0    0    3    8   -0.000094   -0.000001
    5    0    0    4    8    0.000013   -0.000001
    5    0    0    5    8    0.000010   -0.000001
    5    0    0    6    8    0.000102   -0.000002
    5    0    0    7    8   -0.000102   -0.000006
    5    0    0    8    8   -0.000004   -0.000000
    5    0    0    9    8    0.000036    0.000003
    5    0    0   10    8    0.000065   -0.000000
    5    0    0   11    8    0.000010   -0.000000
    5    0    0   12    8   -0.000002   -0.000001
    5    0    0   13    8    0.000001    0.000001
    5    0    0   14    8   -0.000000    0.000000
    5    0    0   15    8    0.000002   -0.000000
    5    0    0   16    8    0.000003   -0.000003
    5    0    0   17    8    0.000001   -0.000005
    5    0    0   18    8   -0.000003   -0.000003
    5    0    0   19    8    0.000004    0.000000
    5    0    0   20    8   -0.000001    0.000005
    5    0    0   21    8   -0.000005   -0.000000
    5    0    0   22    8    0.000000   -0.000000
    5    0    0    1    9    0.000070   -0.000006
    5    0    0    2    9   -0.000012    0.000000
    5    0    0    3    9    0.000052   -0.000001
    5    0    0    4    9   -0.000029    0.000006
    5    0    0    5    9   -0.000054   -0.000001
    5    0    0    6    9   -0.000164    0.000001
    5    0    0    7    9    0.000081    0.000001
    5    0    0    8    9    0.000036    0.000003
    5    0    0    9    9    0.000090   -0.000000
    5    0    0   10    9   -0.000022    0.000002
    5    0    0   11    9   -0.000102    0.000002
    5    0    0   12    9    0.000001   -0.000000
    5    0    0   13    9   -0.000006    0.000004
    5    0    0   14    9    0.000004   -0.000005
    5    0    0   15    9   -0.000002    0.000002
    5    0    0   16    9    0.000001    0.000002
    5    0    0   17    9    0.000000    0.000008
    5    0    0   18    9    0.000003   -0.000003
    5    0    0   19    9   -0.000001   -0.000005
    5    0    0   20    9   -0.000005    0.000001
    5    0    0   21    9   -0.000003    0.000005
    5    0    0   22    9    0.000002    0.000005
    5    0    0    1   10    0.000024    0.000003
    5    0    0    2   10    0.000373    0.000004
    5    0    0    3   10   -0.000120   -0.000002
    5    0    0    4   10    0.000017   -0.000002
    5    0    0    5   10   -0.000122   -0.000002
    5    0    0    6   10    0.000081    0.000001
    5    0    0    7   10   -0.000151   -0.000001
    5    0    0    8   10   -0.000065    0.000000
    5    0    0    9   10    0.000022   -0.000002
    5    0    0   10   10    0.000944    0.000020
    5    0    0   11   10    0.000102    0.000006
    5    0    0   12   10   -0.000005    0.000002
    5    0    0   13   10   -0.000004    0.000001
    5    0    0   14   10    0.000007   -0.000002
    5    0    0   15   10    0.000003   -0.000001
    5    0    0   16   10    0.000003   -0.000009
    5    0    0   17   10   -0.000002   -0.000003
    5    0    0   18   10   -0.000001    0.000005
    5    0    0   19   10    0.000004   -0.000000
    5    0    0   20   10    0.000002    0.000005
    5    0    0   21   10   -0.000026    0.000003
    5    0    0   22   10   -0.000003    0.000002
    5    0    0    1   11   -0.000021    0.000002
    5    0    0    2   11   -0.000091   -0.000003
    5    0    0    3   11    0.000093    0.000001
    5    0    0    4   11    0.000013   -0.000001
    5    0    0    5   11    0.000009   -0.000001
    5    0    0    6   11   -0.000036   -0.000003
    5    0    0    7   11    0.000065   -0.000000
    5    0    0    8   11    0.000010   -0.000000
    5    0    0    9   11   -0.000102    0.000002
    5    0    0   10   11   -0.000102   -0.000006
    5    0    0   11   11   -0.000005   -0.000000
    5    0    0   12   11    0.000002   -0.000001
    5    0    0   13   11    0.000001   -0.000000
    5    0    0   14   11   -0.000000   -0.000000
    5    0    0   15   11   -0.000003   -0.000000
    5    0    0   16   11   -0.000002    0.000004
    5    0    0   17   11   -0.000000    0.000005
    5    0    0   18   11    0.000004    0.000001
    5    0    0   19   11    0.000000    0.000000
    5    0    0   20   11    0.000002   -0.000004
    5    0    0   21   11    0.000003    0.000002
    5    0    0   22   11   -0.000002    0.000001
    5    0    0    1   12    0.000001   -0.000001
    5    0    0    2   12   -0.000011   -0.000001
    5    0    0    3   12    0.000005    0.000010
    5    0    0    4   12    0.000001   -0.000001
    5    0    0    5   12    0.000001    0.000001
    5    0    0    6   12    0.000002    0.000001
    5    0    0    7   12    0.000008    0.000008
    5    0    0    8   12   -0.000005    0.000001
    5    0    0    9   12    0.000002    0.000001
    5    0    0   10   12   -0.000008   -0.000008
    5    0    0   11   12    0.000004   -0.000001
    5    0    0   12   12   -0.000422   -0.000011
    5    0    0   13   12    0.000000   -0.000000
    5    0    0   14   12    0.000000    0.000000
    5    0    0   15   12    0.000164    0.000011
    5    0    0   16   12    0.000182    0.000004
    5    0    0   17   12    0.000238    0.000017
    5    0    0   18   12   -0.000344    0.000006
    5    0    0   19   12    0.000165    0.000008
    5    0    0   20   12   -0.000238   -0.000017
    5    0    0   21   12   -0.000344    0.000005
    5    0    0   22   12    0.000165    0.000008
    5    0    0    1   13    0.000010   -0.000001
    5    0    0    2   13    0.000004   -0.000003
    5    0    0    3   13    0.000000    0.000001
    5    0    0    4   13   -0.000006    0.000005
    5    0    0    5   13   -0.000012   -0.000006
    5    0    0    6   13   -0.000011   -0.000003
    5    0    0    7   13    0.000018    0.000006
    5    0    0    8   13   -0.000006   -0.000001
    5    0    0    9   13    0.000011    0.000003
    5    0    0   10   13    0.000022    0.000002
    5    0    0   11   13   -0.000006   -0.000001
    5    0    0   12   13    0.000000   -0.000000
    5    0    0   13   13    0.000550   -0.000005
    5    0    0   14   13   -0.000279    0.000004
    5    0    0   15   13   -0.000000    0.000000
    5    0    0   16   13   -0.000000   -0.000000
    5    0    0   17   13    0.000095   -0.000003
    5    0    0   18   13   -0.000832    0.000011
    5    0    0   19   13    0.000003    0.000001
    5    0    0   20   13    0.000095   -0.000003
    5    0    0   21   13    0.000833   -0.000011
    5    0    0   22   13   -0.000003   -0.000002
    5    0    0    1   14    0.000005   -0.000010
    5    0    0    2   14    0.000001   -0.000000
    5    0    0    3   14    0.000004   -0.000004
    5    0    0    4   14   -0.000007    0.000008
    5    0    0    5   14   -0.000013    0.000000
    5    0    0    6   14   -0.000009   -0.000000
    5    0    0    7   14    0.000010   -0.000005
    5    0    0    8   14   -0.000001   -0.000001
    5    0    0    9   14    0.000007    0.000002
    5    0    0   10   14    0.000010   -0.000005
    5    0    0   11   14   -0.000002   -0.000000
    5    0    0   12   14    0.000000   -0.000000
    5    0    0   13   14    0.000279   -0.000004
    5    0    0   14   14   -0.000372    0.000000
    5    0    0   15   14   -0.000000    0.000000
    5    0    0   16   14   -0.000000    0.000000
    5    0    0   17   14    0.000106   -0.000002
    5    0    0   18   14   -0.000613    0.000002
    5    0    0   19   14   -0.000108    0.000003
    5    0    0   20   14    0.000106   -0.000002
    5    0    0   21   14    0.000613   -0.000002
    5    0    0   22   14    0.000109   -0.000003
    5    0    0    1   15    0.000000   -0.000001
    5    0    0    2   15    0.000007    0.000006
    5    0    0    3   15   -0.000007   -0.000006
    5    0    0    4   15    0.000003   -0.000002
    5    0    0    5   15    0.000000    0.000000
    5    0    0    6   15    0.000004    0.000005
    5    0    0    7   15   -0.000001    0.000003
    5    0    0    8   15    0.000004    0.000001
    5    0    0    9   15    0.000004    0.000005
    5    0    0   10   15    0.000001   -0.000003
    5    0    0   11   15   -0.000007    0.000002
    5    0    0   12   15    0.000164    0.000011
    5    0    0   13   15   -0.000000    0.000000
    5    0    0   14   15   -0.000000    0.000000
    5    0    0   15   15    0.000024   -0.000017
    5    0    0   16   15   -0.000110   -0.000007
    5    0    0   17   15   -0.000340   -0.000012
    5    0    0   18   15    0.000049   -0.000006
    5    0    0   19   15   -0.000074   -0.000004
    5    0    0   20   15    0.000340    0.000012
    5    0    0   21   15    0.000049   -0.000006
    5    0    0   22   15   -0.000074   -0.000004
    5    0    0    1   16    0.000000    0.000001
    5    0    0    2   16   -0.000012    0.000008
    5    0    0    3   16    0.000013    0.000001
    5    0    0    4   16    0.000000    0.000001
    5    0    0    5   16    0.000004   -0.000003
    5    0    0    6   16   -0.000005   -0.000002
    5    0    0    7   16    0.000013   -0.000009
    5    0    0    8   16    0.000004    0.000008
    5    0    0    9   16   -0.000005   -0.000003
    5    0    0   10   16   -0.000016    0.000011
    5    0    0   11   16   -0.000005   -0.000009
    5    0    0   12   16   -0.000182   -0.000004
    5    0    0   13   16   -0.000001    0.000000
    5    0    0   14   16   -0.000000    0.000000
    5    0    0   15   16    0.000110    0.000007
    5    0    0   16   16    0.000150   -0.000000
    5    0    0   17   16    0.000246    0.000000
    5    0    0   18   16   -0.000264    0.000008
    5    0    0   19   16    0.000059    0.000004
    5    0    0   20   16   -0.000246   -0.000001
    5    0    0   21   16   -0.000264    0.000008
    5    0    0   22   16    0.000060    0.000004
    5    0    0    1   17   -0.000001    0.000000
    5    0    0    2   17   -0.000006   -0.000004
    5    0    0    3   17    0.000004    0.000005
    5    0    0    4   17    0.000002    0.000002
    5    0    0    5   17   -0.000000    0.000002
    5    0    0    6   17   -0.000005   -0.000001
    5    0    0    7   17    0.000003    0.000005
    5    0    0    8   17   -0.000002    0.000005
    5    0    0    9   17    0.000000   -0.000008
    5    0    0   10   17   -0.000003   -0.000003
    5    0    0   11   17    0.000001   -0.000005
    5    0    0   12   17   -0.000070   -0.000006
    5    0    0   13   17   -0.000012   -0.000000
    5    0    0   14   17    0.000052    0.000001
    5    0    0   15   17    0.000030    0.000006
    5    0    0   16   17    0.000054   -0.000001
    5    0    0   17   17    0.000090    0.000000
    5    0    0   18   17    0.000022    0.000001
    5    0    0   19   17    0.000101    0.000002
    5    0    0   20   17   -0.000163   -0.000001
    5    0    0   21   17   -0.000081    0.000001
    5    0    0   22   17   -0.000036    0.000004
    5    0    0    1   18   -0.000005   -0.000002
    5    0    0    2   18    0.000004   -0.000001
    5    0    0    3   18   -0.000007   -0.000002
    5    0    0    4   18    0.000003    0.000002
    5    0    0    5   18    0.000003    0.000008
    5    0    0    6   18   -0.000003    0.000004
    5    0    0    7   18   -0.000026   -0.000002
    5    0    0    8   18   -0.000003   -0.000002
    5    0    0    9   18    0.000003   -0.000002
    5    0    0   10   18   -0.000001   -0.000005
    5    0    0   11   18    0.000004    0.000001
    5    0    0   12   18    0.000024   -0.000003
    5    0    0   13   18   -0.000373    0.000004
    5    0    0   14   18    0.000120   -0.000002
    5    0    0   15   18    0.000017    0.000002
    5    0    0   16   18   -0.000123    0.000002
    5    0    0   17   18   -0.000022   -0.000001
    5    0    0   18   18    0.000944   -0.000020
    5    0    0   19   18    0.000102   -0.000006
    5    0    0   20   18   -0.000081    0.000001
    5    0    0   21   18   -0.000151    0.000001
    5    0    0   22   18   -0.000065   -0.000000
    5    0    0    1   19    0.000001    0.000001
    5    0    0    2   19   -0.000001    0.000000
    5    0    0    3   19    0.000000   -0.000001
    5    0    0    4   19   -0.000003   -0.000000
    5    0    0    5   19   -0.000003   -0.000004
    5    0    0    6   19   -0.000002   -0.000004
    5    0    0    7   19    0.000004   -0.000002
    5    0    0    8   19   -0.000002   -0.000000
    5    0    0    9   19    0.000000    0.000005
    5    0    0   10   19    0.000004   -0.000000
    5    0    0   11   19    0.000000   -0.000000
    5    0    0   12   19   -0.000021   -0.000002
    5    0    0   13   19    0.000091   -0.000003
    5    0    0   14   19   -0.000093    0.000001
    5    0    0   15   19    0.000012    0.000001
    5    0    0   16   19    0.000009    0.000001
    5    0    0   17   19    0.000101    0.000002
    5    0    0   18   19   -0.000102    0.000006
    5    0    0   19   19   -0.000004    0.000000
    5    0    0   20   19    0.000036   -0.000003
    5    0    0   21   19    0.000065    0.000000
    5    0    0   22   19    0.000011    0.000000
    5    0    0    1   20   -0.000001    0.000000
    5    0    0    2   20    0.000006    0.000003
    5    0    0    3   20   -0.000006   -0.000003
    5    0    0    4   20    0.000002    0.000002
    5    0    0    5   20   -0.000001    0.000003
    5    0    0    6   20    0.000000    0.000007
    5    0    0    7   20   -0.000002   -0.000003
    5    0    0    8   20    0.000001   -0.000004
    5    0    0    9   20    0.000006   -0.000001
    5    0    0   10   20    0.000003    0.000005
    5    0    0   11   20   -0.000001    0.000004
    5    0    0   12   20    0.000070    0.000006
    5    0    0   13   20   -0.000012    0.000000
    5    0    0   14   20    0.000052    0.000001
    5    0    0   15   20   -0.000030   -0.000006
    5    0    0   16   20   -0.000054    0.000001
    5    0    0   17   20   -0.000163   -0.000001
    5    0    0   18   20    0.000081   -0.000001
    5    0    0   19   20    0.000036   -0.000003
    5    0    0   20   20    0.000090    0.000000
    5    0    0   21   20   -0.000022   -0.000001
    5    0    0   22   20   -0.000101   -0.000002
    5    0    0    1   21    0.000005    0.000001
    5    0    0    2   21    0.000008   -0.000004
    5    0    0    3   21   -0.000006   -0.000001
    5    0    0    4   21   -0.000003   -0.000002
    5    0    0    5   21   -0.000004   -0.000006
    5    0    0    6   21    0.000003   -0.000003
    5    0    0    7   21   -0.000001    0.000006
    5    0    0    8   21   -0.000005   -0.000000
    5    0    0    9   21   -0.000003    0.000004
    5    0    0   10   21    0.000030   -0.000002
    5    0    0   11   21    0.000003    0.000002
    5    0    0   12   21    0.000024   -0.000003
    5    0    0   13   21    0.000374   -0.000004
    5    0    0   14   21   -0.000120    0.000002
    5    0    0   15   21    0.000017    0.000002
    5    0    0   16   21   -0.000124    0.000002
    5    0    0   17   21    0.000082   -0.000001
    5    0    0   18   21   -0.000150    0.000001
    5    0    0   19   21   -0.000064   -0.000000
    5    0    0   20   21    0.000022    0.000002
    5    0    0   21   21    0.000945   -0.000020
    5    0    0   22   21    0.000102   -0.000006
    5    0    0    1   22   -0.000002    0.000001
    5    0    0    2   22   -0.000001    0.000001
    5    0    0    3   22   -0.000000   -0.000001
    5    0    0    4   22    0.000001    0.000001
    5    0    0    5   22    0.000003    0.000004
    5    0    0    6   22    0.000001    0.000005
    5    0    0    7   22   -0.000005    0.000000
    5    0    0    8   22    0.000000    0.000000
    5    0    0    9   22   -0.000002   -0.000005
    5    0    0   10   22   -0.000004    0.000002
    5    0    0   11   22    0.000004   -0.000001
    5    0    0   12   22   -0.000021   -0.000002
    5    0    0   13   22   -0.000091    0.000003
    5    0    0   14   22    0.000094   -0.000001
    5    0    0   15   22    0.000012    0.000001
    5    0    0   16   22    0.000010    0.000001
    5    0    0   17   22   -0.000036    0.000003
    5    0    0   18   22    0.000064    0.000000
    5    0    0   19   22    0.000011    0.000000
    5    0    0   20   22   -0.000101   -0.000002
    5    0    0   21   22   -0.000102    0.000006
    5    0    0   22   22   -0.000003   -0.000000
    5    1    0    1    1   -0.000076    0.000019
    5    1    0    2    1   -0.000000   -0.000000
    5    1    0    3    1    0.000000    0.000000
    5    1    0    4    1   -0.000012   -0.000025
    5    1    0    5    1    0.000360   -0.000010
    5    1    0    6    1    0.000757   -0.000017
    5    1    0    7    1    0.000115   -0.000001
    5    1    0    8    1    0.000068   -0.000011
    5    1    0    9    1   -0.000757    0.000017
    5    1    0   10    1    0.000115   -0.000001
    5    1    0   11    1    0.000068   -0.000011
    5    1    0   12    1    0.000000    0.000000
    5    1    0   13    1    0.000006   -0.000005
    5    1    0   14    1   -0.000002   -0.000002
    5    1    0   15    1   -0.000000   -0.000001
    5    1    0   16    1   -0.000000    0.000000
    5    1    0   17    1    0.000019    0.000000
    5    1    0   18    1    0.000011   -0.000002
    5    1    0   19    1   -0.000001   -0.000007
    5    1    0   20    1    0.000019    0.000000
    5    1    0   21    1   -0.000010    0.000001
    5    1    0   22    1    0.000002    0.000006
    5    1    0    1    2   -0.000000    0.000000
    5    1    0    2    2   -0.000221    0.000003
    5    1    0    3    2   -0.000070    0.000002
    5    1    0    4    2    0.000000    0.000000
    5    1    0    5    2    0.000001   -0.000000
    5    1    0    6    2    0.000143    0.000003
    5    1    0    7    2    0.000821    0.000017
    5    1    0    8    2    0.000358    0.000000
    5    1    0    9    2    0.000143    0.000003
    5    1    0   10    2   -0.000822   -0.000016
    5    1    0   11    2   -0.000358   -0.000000
    5    1    0   12    2   -0.000004    0.000016
    5    1    0   13    2   -0.000000   -0.000001
    5    1    0   14    2    0.000000   -0.000000
    5    1    0   15    2    0.000005   -0.000008
    5    1    0   16    2    0.000004   -0.000009
    5    1    0   17    2    0.000031   -0.000027
    5    1    0   18    2    0.000028   -0.000007
    5    1    0   19    2    0.000014   -0.000012
    5    1    0   20    2   -0.000031    0.000027
    5    1    0   21    2    0.000028   -0.000007
    5    1    0   22    2    0.000014   -0.000013
    5    1    0    1    3    0.000000    0.000000
    5    1    0    2    3   -0.000126   -0.000003
    5    1    0    3    3    0.000083    0.000006
    5    1    0    4    3    0.000001   -0.000000
    5    1    0    5    3   -0.000000    0.000000
    5    1    0    6    3    0.000109   -0.000005
    5    1    0    7    3    0.000614    0.000007
    5    1    0    8    3    0.000234   -0.000000
    5    1    0    9    3    0.000109   -0.000005
    5    1    0   10    3   -0.000614   -0.000007
    5    1    0   11    3   -0.000235    0.000000
    5    1    0   12    3    0.000004    0.000005
    5    1    0   13    3   -0.000001   -0.000001
    5    1    0   14    3   -0.000001   -0.000001
    5    1    0   15    3   -0.000003   -0.000011
    5    1    0   16    3   -0.000008   -0.000001
    5    1    0   17    3   -0.000012   -0.000004
    5    1    0   18    3    0.000012    0.000001
    5    1    0   19    3    0.000002   -0.000002
    5    1    0   20    3    0.000012    0.000004
    5    1    0   21    3    0.000012    0.000001
    5    1    0   22    3    0.000002   -0.000003
    5    1    0    1    4    0.000190   -0.000013
    5    1    0    2    4    0.000000   -0.000000
    5    1    0    3    4    0.000000    0.000000
    5    1    0    4    4   -0.000242    0.000017
    5    1    0    5    4   -0.000469   -0.000002
    5    1    0    6    4   -0.000724   -0.000005
    5    1    0    7    4   -0.000242   -0.000010
    5    1    0    8    4   -0.000111    0.000012
    5    1    0    9    4    0.000724    0.000005
    5    1    0   10    4   -0.000242   -0.000010
    5    1    0   11    4   -0.000110    0.000012
    5    1    0   12    4   -0.000002   -0.000002
    5    1    0   13    4   -0.000008   -0.000008
    5    1    0   14    4   -0.000006    0.000014
    5    1    0   15    4    0.000000    0.000000
    5    1    0   16    4   -0.000000    0.000001
    5    1    0   17    4   -0.000014   -0.000004
    5    1    0   18    4   -0.000009   -0.000001
    5    1    0   19    4    0.000009   -0.000006
    5    1    0   20    4   -0.000014   -0.000004
    5    1    0   21    4    0.000009   -0.000000
    5    1    0   22    4   -0.000009    0.000006
    5    1    0    1    5   -0.000010   -0.000011
    5    1    0    2    5    0.000001   -0.000000
    5    1    0    3    5   -0.000000    0.000000
    5    1    0    4    5    0.000151    0.000008
    5    1    0    5    5    0.000141    0.000013
    5    1    0    6    5    0.000250    0.000025
    5    1    0    7    5    0.000063   -0.000002
    5    1    0    8    5   -0.000001    0.000006
    5    1    0    9    5   -0.000250   -0.000025
    5    1    0   10    5    0.000063   -0.000002
    5    1    0   11    5   -0.000002    0.000006
    5    1    0   12    5   -0.000000    0.000000
    5    1    0   13    5    0.000000   -0.000003
    5    1    0   14    5    0.000014   -0.000013
    5    1    0   15    5   -0.000000    0.000001
    5    1    0   16    5   -0.000001   -0.000001
    5    1    0   17    5    0.000002    0.000008
    5    1    0   18    5    0.000013    0.000018
    5    1    0   19    5   -0.000001    0.000003
    5    1    0   20    5    0.000002    0.000008
    5    1    0   21    5   -0.000012   -0.000017
    5    1    0   22    5    0.000001   -0.000004
    5    1    0    1    6   -0.000045   -0.000004
    5    1    0    2    6    0.000109    0.000002
    5    1    0    3    6   -0.000132   -0.000001
    5    1    0    4    6    0.000113    0.000005
    5    1    0    5    6    0.000098    0.000005
    5    1    0    6    6    0.000149    0.000008
    5    1    0    7    6   -0.000171    0.000002
    5    1    0    8    6    0.000050    0.000001
    5    1    0    9    6   -0.000047   -0.000006
    5    1    0   10    6    0.000155    0.000001
    5    1    0   11    6    0.000009   -0.000001
    5    1    0   12    6   -0.000002   -0.000000
    5    1    0   13    6    0.000003    0.000005
    5    1    0   14    6    0.000008   -0.000010
    5    1    0   15    6    0.000003    0.000002
    5    1    0   16    6    0.000005   -0.000001
    5    1    0   17    6    0.000009    0.000000
    5    1    0   18    6    0.000001   -0.000006
    5    1    0   19    6   -0.000002   -0.000003
    5    1    0   20    6   -0.000002    0.000008
    5    1    0   21    6   -0.000006    0.000004
    5    1    0   22    6    0.000005   -0.000000
    5    1    0    1    7   -0.000029    0.000002
    5    1    0    2    7    0.000315    0.000004
    5    1    0    3    7   -0.000069   -0.000000
    5    1    0    4    7   -0.000075   -0.000007
    5    1    0    5    7   -0.000038   -0.000003
    5    1    0    6    7   -0.000071   -0.000009
    5    1    0    7    7   -0.000268   -0.000005
    5    1    0    8    7    0.000067    0.000006
    5    1    0    9    7   -0.000008    0.000005
    5    1    0   10    7    0.000720    0.000017
    5    1    0   11    7    0.000073    0.000005
    5    1    0   12    7   -0.000005   -0.000003
    5    1    0   13    7    0.000009    0.000004
    5    1    0   14    7   -0.000003    0.000003
    5    1    0   15    7    0.000001   -0.000000
    5    1    0   16    7    0.000003   -0.000001
    5    1    0   17    7   -0.000006    0.000002
    5    1    0   18    7   -0.000028   -0.000004
    5    1    0   19    7    0.000002   -0.000002
    5    1    0   20    7    0.000001   -0.000003
    5    1    0   21    7    0.000003    0.000018
    5    1    0   22    7   -0.000001    0.000009
    5    1    0    1    8   -0.000037    0.000003
    5    1    0    2    8   -0.000113   -0.000002
    5    1    0    3    8    0.000106    0.000000
    5    1    0    4    8    0.000003   -0.000004
    5    1    0    5    8    0.000056   -0.000005
    5    1    0    6    8    0.000118   -0.000006
    5    1    0    7    8    0.000288    0.000000
    5    1    0    8    8    0.000056   -0.000001
    5    1    0    9    8   -0.000080    0.000008
    5    1    0   10    8   -0.000225   -0.000009
    5    1    0   11    8   -0.000041   -0.000003
    5    1    0   12    8    0.000001    0.000010
    5    1    0   13    8    0.000001   -0.000002
    5    1    0   14    8   -0.000001   -0.000001
    5    1    0   15    8   -0.000001   -0.000003
    5    1    0   16    8   -0.000002   -0.000004
    5    1    0   17    8    0.000006   -0.000008
    5    1    0   18    8    0.000009    0.000001
    5    1    0   19    8    0.000002   -0.000005
    5    1    0   20    8   -0.000003    0.000008
    5    1    0   21    8    0.000008   -0.000001
    5    1    0   22    8    0.000003   -0.000002
    5    1    0    1    9    0.000045    0.000004
    5    1    0    2    9    0.000108    0.000002
    5    1    0    3    9   -0.000132   -0.000000
    5    1    0    4    9   -0.000113   -0.000004
    5    1    0    5    9   -0.000098   -0.000005
    5    1    0    6    9   -0.000048   -0.000005
